Defense_System	Strain_Count
R-M	12999
CRISPR-Cas	8123
CBASS	7175
Gabija	5758
RloC	5483
Wadjet	4498
JukAB	3614
Druantia	3366
AbiE	3206
Lamassu-Fam	2957
Mokosh	2794
Shedu	2603
Zorya	2494
Pycsar	2264
RosmerTA	2208
BREX	1911
Septu	1670
PD-T7-2	1602
Shango	1536
Retron	1458
Prithvi	1349
Rst_HelicaseDUF2290	1318
PsyrTA	1313
pAgo	1164
Prometheus	1134
AbiD	1122
PD-Lambda-5	1105
Hachiman	1101
dCTPdeaminase	1090
Gao_Qat	1022
Gao_Iet	1018
Eleos	970
DRT	944
Tiamat	926
PrrC	890
Borvo	737
DarTG	716
DISARM	703
RnlAB	614
PD-Lambda-2	602
6A_MBL	589
SspBCDE	564
Rst_3HP	541
CoCoNut	527
Azaca	503
Paris	482
BstA	422
Gao_Mza	405
ShosTA	405
Thoeris	399
Old_exonuclease	386
AbiU	381
PD-T7-1	378
Gao_Her	363
Dsr	363
MazEF	354
Avs	340
SEFIR	320
SanaTA	317
AbiZ	294
AbiH	294
PD-T7-4	293
All_UG	270
Nantosuelta	259
Olokun	233
Sirona	227
FS_GIY_YIG	224
DS-38	207
PD-T4-7	197
DS-1	188
PD-T7-3	187
HEC-02	185
GAPS4	183
DS-4	177
PD-T4-8	177
Dpd	170
HEC-08	154
Hna	135
PD-Lambda-1	133
HEC-01	130
MADS	130
AbiJ	126
Gao_RL	125
Menshen	121
Hma	111
DS-6	110
GAPS6	110
Bunzi	109
TIR-III	109
Lit	108
gcu24	97
Rst_Hydrolase-3Tm	96
HEC-05	95
HEC-07	91
PD-T4-5	89
PfiAT	88
PD-T7-5	85
Gao_Ppl	77
Kiwa	77
SoFIC	74
Gao_Tmn	74
Gao_Upx	74
NLR	74
Rst_DUF4238	72
Erebus	64
PD-T4-6	59
MADS3-4	51
DS-19	51
DS-14	48
Dnd	43
Rst_TIR-NLR	43
HEC-03	43
DS-20	39
DS-16	38
HEC-04	36
VP1853	35
Hypnos	33
DS-32	32
VP1796	29
DS-12B	29
CapRel	28
DS-23	26
Dazbog	23
VP1839	21
DS-22	20
Gao_TerY	20
DS-11	18
TgvAB	18
AbiAlpha	17
AbiO	16
VP1826	16
Belisama	14
GAPS1	10
HEC-09	9
DS-31	9
DS-29	8
Detocs	7
DS-39	7
Viperin	6
PD-Lambda-3	5
DS-24	5
Mok_Hok_Sok	4
VP1851	3
DS-2	2
SpbK	2
DS-35	2
FS_HsdR_like	2
AbiP2	1
Abi2	1
Taranis	1
Damona	1
FS_Sma	1
AbiC	1
Gao_Hhe	1
